"","Gene","logFC","pvalues"
"ENSG00000220913","ENSG00000220913",NA,0.371004626151174
"ENSG00000236081","ENSG00000236081",NA,0.261481045024654
"ENSG00000233215","ENSG00000233215",NA,0.369013205237742
"ENSG00000287417","ENSG00000287417",NA,0.335798493895154
"ENSG00000211952","ENSG00000211952",NA,0.303643952732313
"ENSG00000196406","ENSG00000196406",NA,0.371151702515545
"ENSG00000186847","ENSG00000186847",NA,0.261545127968398
"ENSG00000109132","ENSG00000109132",NA,0.218588727414206
"ENSG00000204528","ENSG00000204528",NA,0.364020173021363
"ENSG00000099399","ENSG00000099399",NA,0.391205218032354
"ENSG00000249116","ENSG00000249116",NA,0.359118467651807
"ENSG00000286580","ENSG00000286580",NA,0.29708187193805
"ENSG00000243955","ENSG00000243955",NA,0.02982751927587
"ENSG00000258932","ENSG00000258932",NA,0.159743850728558
"ENSG00000112499","ENSG00000112499",NA,0.246566273970467
"ENSG00000232325","ENSG00000232325",NA,0.339523122963611
"ENSG00000144010","ENSG00000144010",NA,0.357334933146671
"ENSG00000232370","ENSG00000232370",NA,0.392195548763137
"ENSG00000278857","ENSG00000278857",NA,0.364923036969377
"ENSG00000064218","ENSG00000064218",NA,0.168250654115706
"ENSG00000143196","ENSG00000143196",NA,0.0607302024113288
"ENSG00000234261","ENSG00000234261",NA,0.376548572134463
"ENSG00000227017","ENSG00000227017",NA,0.0985089377690956
"ENSG00000231394","ENSG00000231394",NA,0.241997656022994
"ENSG00000233308","ENSG00000233308",NA,0.208669021706308
"ENSG00000261399","ENSG00000261399",NA,0.138796593049585
"ENSG00000224141","ENSG00000224141",NA,0.180650890901838
"ENSG00000250102","ENSG00000250102",NA,0.384062133416177
"ENSG00000236212","ENSG00000236212",NA,0.197984257873096
"ENSG00000258712","ENSG00000258712",NA,0.358900419140998
"ENSG00000278097","ENSG00000278097",NA,0.401778916954264
"ENSG00000251363","ENSG00000251363",NA,0.343684559692689
"ENSG00000176040","ENSG00000176040",NA,0.398705128370834
"ENSG00000158485","ENSG00000158485",NA,0.417265997296861
"ENSG00000144015","ENSG00000144015",NA,0.391243215673227
"ENSG00000108255","ENSG00000108255",NA,0.261846309450327
"ENSG00000231171","ENSG00000231171",NA,0.315536255358674
"ENSG00000278473","ENSG00000278473",NA,0.373900966300059
"ENSG00000229735","ENSG00000229735",NA,0.346098451059526
"ENSG00000231806","ENSG00000231806",NA,0.214270632316426
"ENSG00000211655","ENSG00000211655",NA,0.384062133416177
"ENSG00000273367","ENSG00000273367",NA,0.119015720475989
"ENSG00000262267","ENSG00000262267",NA,0.278001056376863
"ENSG00000275216","ENSG00000275216",NA,0.359284598558588
"ENSG00000282651","ENSG00000282651",NA,0.446432218023346
"ENSG00000280693","ENSG00000280693",NA,0.320130782945144
"ENSG00000171346","ENSG00000171346",NA,0.317214590589864
"ENSG00000185290","ENSG00000185290",NA,0.299638222737388
"ENSG00000256915","ENSG00000256915",NA,0.338903098625274
"ENSG00000226806","ENSG00000226806",NA,0.293272828132501
"ENSG00000233515","ENSG00000233515",NA,0.337988509207286
"ENSG00000048462","ENSG00000048462",NA,0.261881343227862
"ENSG00000259527","ENSG00000259527",NA,0.373900966300059
"ENSG00000243944","ENSG00000243944",NA,0.368670463933202
"ENSG00000251039","ENSG00000251039",NA,0.200665115288659
"ENSG00000251320","ENSG00000251320",NA,0.335979460099542
"ENSG00000251623","ENSG00000251623",NA,0.196323250088407
"ENSG00000285675","ENSG00000285675",NA,0.294944107643596
"ENSG00000211685","ENSG00000211685",NA,0.366821794530245
"ENSG00000211632","ENSG00000211632",NA,0.400864281033024
"ENSG00000083782","ENSG00000083782",NA,0.357547208291436
"ENSG00000095917","ENSG00000095917",NA,0.032008682166548
"ENSG00000173237","ENSG00000173237",NA,0.358322807830596
"ENSG00000258274","ENSG00000258274",NA,0.292388312454785
"ENSG00000167941","ENSG00000167941",NA,0.224201428977326
"ENSG00000166391","ENSG00000166391",NA,0.308790525487927
"ENSG00000250993","ENSG00000250993",NA,0.373900966300059
"ENSG00000255733","ENSG00000255733",NA,0.302889989055563
"ENSG00000188646","ENSG00000188646",NA,0.314054641935423
"ENSG00000266088","ENSG00000266088",NA,0.176730512860605
"ENSG00000286452","ENSG00000286452",NA,0.183139414259235
"ENSG00000163209","ENSG00000163209",NA,0.361640409542986
"ENSG00000231107","ENSG00000231107",NA,0.0359113676739662
"ENSG00000211664","ENSG00000211664",NA,0.515365398139633
"ENSG00000211647","ENSG00000211647",NA,0.170647875140027
"ENSG00000227182","ENSG00000227182",NA,0.373900966300059
"ENSG00000256678","ENSG00000256678",NA,0.406707763600149
"ENSG00000171517","ENSG00000171517",NA,0.103565532262164
"ENSG00000264015","ENSG00000264015",NA,0.36033654086403
"ENSG00000241825","ENSG00000241825",NA,0.413655995944414
"ENSG00000214146","ENSG00000214146",NA,0.291788699623303
"ENSG00000151365","ENSG00000151365",NA,0.260622758990409
"ENSG00000287951","ENSG00000287951",NA,0.155699871316231
"ENSG00000285576","ENSG00000285576",NA,0.119880983618282
"ENSG00000250041","ENSG00000250041",NA,0.349965352918651
"ENSG00000211747","ENSG00000211747",NA,0.291058824885875
"ENSG00000205361","ENSG00000205361",NA,0.381113934976487
"ENSG00000167749","ENSG00000167749",NA,0.341313134940727
"ENSG00000231475","ENSG00000231475",NA,0.36831921992974
"ENSG00000169393","ENSG00000169393",NA,0.375356209938076
"ENSG00000258602","ENSG00000258602",NA,0.40963960727753
"ENSG00000224041","ENSG00000224041",NA,0.330652296546402
"ENSG00000212766","ENSG00000212766",NA,0.380375326043753
"ENSG00000232258","ENSG00000232258",NA,0.252002742158353
"ENSG00000234710","ENSG00000234710",NA,0.311044987357854
"ENSG00000251546","ENSG00000251546",NA,0.330370097439249
"ENSG00000227591","ENSG00000227591",NA,0.380222943206534
"ENSG00000253497","ENSG00000253497",NA,0.354838082665896
"ENSG00000202111","ENSG00000202111",NA,0.234233258886546
"ENSG00000286540","ENSG00000286540",NA,0.125238915979817
"ENSG00000258451","ENSG00000258451",NA,0.422356554896753
"ENSG00000186910","ENSG00000186910",NA,0.380480730936877
